ean,title,brand,category,price,promo_price,available,seller_type
8720689030922,Epilateur BRE247/00 PHILIPS,PHILIPS,Beauté et Santé,49.99,39.99,True,carrefour
8720689030977,Epilateur BRE257/00 PHILIPS,PHILIPS,Beauté et Santé,59.99,47.99,True,carrefour
8720689032049,Rasoir électrique pour femme Serie 6000 BRL138/00 PHILIPS,PHILIPS,Beauté et Santé,49.99,39.99,True,carrefour
8720689032704,Epilateur sans fil BRE708/00 PHILIPS,PHILIPS,Beauté et Santé,99.99,79.99,True,carrefour
8720689034203,Tondeuse à barbe serie 5000 BT5780/15 PHILIPS,PHILIPS,Beauté et Santé,59.99,47.99,True,carrefour
8720689034791,Brosse à dent Serie 4100 HX3689/41 PHILIPS,PHILIPS,Beauté et Santé,49.99,39.99,True,carrefour
8720689034807,Brosse à dent HX3689/42 PHILIPS,PHILIPS,Beauté et Santé,49.99,39.99,True,carrefour
8720689043526,Brosse à dent électrique Rechargeable Serie 3100 - HX4032/21 PHILIPS,PHILIPS,Beauté et Santé,49.99,39.99,True,carrefour
8720689044950,Tondeuse tout en un serie 7000 MG7941/15 PHILIPS,PHILIPS,Beauté et Santé,79.99,63.99,True,carrefour
8720689045094,Tondeuse MG9557/15 PHILIPS,PHILIPS,Beauté et Santé,109.99,87.99,True,carrefour
8720689045360,Tondeuse 10 en 1 visage cheveux et corps serie 5000 MG5921/15 PHILIPS,PHILIPS,Beauté et Santé,54.99,43.99,True,carrefour
8720689045803,Tondeuse MG5941/15 PHILIPS,PHILIPS,Beauté et Santé,47,37.6,True,carrefour
8720689053990,Rasoir électrique  S7882/55 PHILIPS,PHILIPS,Beauté et Santé,189.99,151.99,True,carrefour
3030050153378,Sèche-cheveux turbo shine - D570DE - Noir BABYLISS,BABYLISS,Beauté et Santé,37.99,,True,carrefour
3030050153798,Brosse soufflante Big Hair Dual AS950E BABYLISS,BABYLISS,Beauté et Santé,69.99,,True,carrefour
3030050154825,Sèche-cheveux power pro 6704E BABYLISS,BABYLISS,Beauté et Santé,39.99,,True,carrefour
3030050182644,Fer à boucler Wave Secret Air - C1900E BABYLISS,BABYLISS,Beauté et Santé,124.99,,True,carrefour
3030050185850,Sèche-cheveux Turbo Pro 2100 - 6710DE BABYLISS,BABYLISS,Beauté et Santé,49.99,,True,carrefour
3030050190731,Brosse soufflante Air Wand - AS6550E BABYLISS,BABYLISS,Beauté et Santé,129.99,,True,carrefour
3094570133449,Pèse-personne électronique Color coach quattro TERRAILLON,TERRAILLON,Beauté et Santé,25.99,,True,carrefour
3121040089262,Lisseur Optiliss SF3216F0 ROWENTA,ROWENTA,Beauté et Santé,29.99,,True,carrefour
4210201414964,Brosse à dents électrique iO5S Noir ORAL B,ORAL B,Beauté et Santé,149.99,,True,carrefour
4210201432326,Brosse à dents électrique - VITALITY PRO - Noir ORAL B,ORAL B,Beauté et Santé,29.99,,True,carrefour
4210201448273,Tondeuse barbe BT7420 BRAUN,BRAUN,Beauté et Santé,94.99,,True,carrefour
4211125638504,Bain bouillonnant pieds FB 30 BEURER,BEURER,Beauté et Santé,59.99,,True,carrefour
4211125645502,Rouleau de massage à vibrations - MG35  BEURER,BEURER,Beauté et Santé,42.99,,True,carrefour
7500435225229,Epilateur rechargeable Silk epil SE 9-030 BRAUN,BRAUN,Beauté et Santé,159.99,,True,carrefour
7500435245180,Tondeuse multifonctions MGK3540 BRAUN,BRAUN,Beauté et Santé,39.99,,True,carrefour
8700216646130,Rasoir électrique Series 5 - 2 modes de rasage BRAUN,BRAUN,Beauté et Santé,119.99,,True,carrefour
0761318352228,Brosse chauffante RVDR5222E REVLON,REVLON,Beauté et Santé,34.99,,True,carrefour
3030050154856,Sèche-cheveux super pro - 6714E BABYLISS,BABYLISS,Beauté et Santé,49.99,,True,carrefour
3030050192995,Lisseur Pro Onyx-ST484E BABYLISS,BABYLISS,Beauté et Santé,119.99,,True,carrefour
3030050197372,Boucleur automatique Style Secret Air - C6688E BABYLISS,BABYLISS,Beauté et Santé,119.99,,True,carrefour
3474636819713,Lisseur Steampod 3.0 L'OREAL,L'OREAL,Beauté et Santé,249.99,,True,carrefour
8007403117283,Sèche-cheveux P3 3400 BELLISSIMA,BELLISSIMA,Beauté et Santé,34.99,,True,carrefour
3700206739922,Lisseur Demeliss Titanium SAINT ALGUE,SAINT ALGUE,Beauté et Santé,59.99,,True,carrefour
4895271300227,Masque LED Artemis Blush E100B-1 RENPHO,RENPHO,Beauté et Santé,159.99,,True,carrefour
0622356271622,Sèche-cheveux HD33EU - 3 accessoires - blanc soie - 1700W SHARK,SHARK,Beauté et Santé,139.99,,True,carrefour
0622356324922,Masque LED Cryoglow FW312PLEU SHARK,SHARK,Beauté et Santé,349.99,,True,carrefour
0761318222774,Brosse coiffante One-Step RVDR5222PE REVLON,REVLON,Beauté et Santé,34.99,,True,carrefour
3030050069402,Boucleur 19 mm Curling Tong - C319E BABYLISS,BABYLISS,Beauté et Santé,18.99,,True,carrefour
